country,area,plot,species,count
Egypt,A1,1,fish,12
Egypt,A1,2,fish,9
Egypt,A1,3,fish,11
Egypt,A1,4,fish,13
Egypt,A1,5,fish,7
Egypt,A1,1,Mouse,9
Egypt,A1,2,Mouse,2
Egypt,A1,3,Mouse,3
Egypt,A1,4,Mouse,0
Egypt,A1,5,Mouse,6
Egypt,A1,1,Seagull,4
Egypt,A1,2,Seagull,2
Egypt,A1,3,Seagull,3
Egypt,A1,4,Seagull,3
Egypt,A1,5,Seagull,2
Egypt,A1,1,Elephant,1
Egypt,A1,2,Elephant,2
Egypt,A1,3,Elephant,2
Egypt,A1,4,Elephant,1
Egypt,A1,5,Elephant,1
Egypt,A1,1,Lion,3
Egypt,A1,2,Lion,3
Egypt,A1,3,Lion,2
Egypt,A1,4,Lion,3
Egypt,A1,5,Lion,4
Egypt,A1,1,Capybara,8
Egypt,A1,2,Capybara,7
Egypt,A1,3,Capybara,8
Egypt,A1,4,Capybara,10
Egypt,A1,5,Capybara,12
Sudan,A2,1,fish,4
Sudan,A2,2,fish,2
Sudan,A2,3,fish,2
Sudan,A2,4,fish,5
Sudan,A2,5,fish,3
Sudan,A2,1,Mouse,5
Sudan,A2,2,Mouse,7
Sudan,A2,3,Mouse,3
Sudan,A2,4,Mouse,7
Sudan,A2,5,Mouse,3
Sudan,A2,1,Seagull,5
Sudan,A2,2,Seagull,4
Sudan,A2,3,Seagull,4
Sudan,A2,4,Seagull,6
Sudan,A2,5,Seagull,6
Sudan,A2,1,Elephant,1
Sudan,A2,2,Elephant,2
Sudan,A2,3,Elephant,2
Sudan,A2,4,Elephant,3
Sudan,A2,5,Elephant,1
Sudan,A2,1,Lion,5
Sudan,A2,2,Lion,6
Sudan,A2,3,Lion,6
Sudan,A2,4,Lion,4
Sudan,A2,5,Lion,2
Sudan,A2,1,Capybara,7
Sudan,A2,2,Capybara,6
Sudan,A2,3,Capybara,8
Sudan,A2,4,Capybara,9
Sudan,A2,5,Capybara,11
Sudan,A3,1,fish,22
Sudan,A3,2,fish,12
Sudan,A3,3,fish,15
Sudan,A3,4,fish,14
Sudan,A3,5,fish,17
Sudan,A3,1,Mouse,2
Sudan,A3,2,Mouse,1
Sudan,A3,3,Mouse,2
Sudan,A3,4,Mouse,0
Sudan,A3,5,Mouse,2
Sudan,A3,1,Seagull,1
Sudan,A3,2,Seagull,2
Sudan,A3,3,Seagull,2
Sudan,A3,4,Seagull,2
Sudan,A3,5,Seagull,1
Sudan,A3,1,Elephant,4
Sudan,A3,2,Elephant,5
Sudan,A3,3,Elephant,5
Sudan,A3,4,Elephant,6
Sudan,A3,5,Elephant,3
Sudan,A3,1,Lion,2
Sudan,A3,2,Lion,8
Sudan,A3,3,Lion,3
Sudan,A3,4,Lion,1
Sudan,A3,5,Lion,2
Sudan,A3,1,Capybara,4
Sudan,A3,2,Capybara,2
Sudan,A3,3,Capybara,6
Sudan,A3,4,Capybara,2
Sudan,A3,5,Capybara,3
