,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus;uncultured bacterium,0.001538236,0.000616849,0.000655011,0.065572339,0.313042535,0.018102712,0.025219545,0.11500877,0.100824005,0.181393417,0.249244021,0.056783781
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11-7 lineage;uncultured marine bacterium,0.124963375,0.31247797,0.266085554,0.012573125,0.048936632,0.117939554,0.177887863,0.003841978,0,0.006437545,0.01603592,0.009081736
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade CHAB-I-5 lineage;uncultured bacterium,0.066290653,0.026436376,0.033959792,0.038068628,0.138780382,0.04863647,0.103805449,0.14232022,0.141324627,0.107880802,0.11170164,0.034583983
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;uncultured marine bacterium;Other,0.098373865,0.008988368,0.015417947,0.10163276,0.072265625,0.023618988,0.026795767,0.155349536,0.157804726,0.137265082,0.101988454,0.05265572
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured bacterium,0.110826253,0.127247092,0.119615055,0.061293984,0.029296875,0.06075674,0.045710426,0.048358807,0.030317164,0.032083896,0.02629891,0.061920925
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;uncultured bacterium,0.107310284,0.036834685,5.04E-05,0.068104427,0.003363715,0.03441846,0,0.054873465,0.062266791,0.061260513,0.046916522,0.079350518
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured bacterium,0.07332259,0.098872048,0.049226583,0.00960447,0.017686632,0.046383342,0.045485251,0.037584565,0.00676306,0.010902295,0.022908458,0.006329695
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;uncultured bacterium,0.018019338,0.001586183,0.031037436,0.001309701,0.007378472,0.182347914,0.058545373,0.008602689,0.008473259,0.028034472,0.017410428,0.002018163
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;uncultured bacterium;Other,0.005713449,0.001762425,0.006499723,0.047236532,0.01812066,0.01981198,0.022067102,0.053453604,0.035525498,0.025750182,0.026115642,0.038345106
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;uncultured Flavobacterium sp.,0.045707589,0.011720127,0.009976319,0.00026194,0.024522569,0.025250563,0.025219545,0.054205295,0.041666667,0.014847887,0.027490149,0.000825612
