,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C9H6O3,4.825915858,8.712742704,6.97383241,8.570003681,4.703827227,5.563733968,7.126441628,5.761445926,5.086729836,7.835340397,7.773714607,7.503694834
C10H10O2,8.603591918,10.74765701,8.122926845,11.23284591,7.415496311,8.655542882,9.486998564,9.49738694,9.745350366,12.19430293,11.9344762,10.48956422
C11H14O1,5.303921322,5.819572918,5.469964517,6.687688516,6.152771344,4.99652944,5.489378487,6.507017404,6.842496956,7.634988389,7.650059842,6.311489651
C9H8O3,5.83738618,8.915235249,5.652180105,8.268093634,5.163685938,3.359813727,5.589553226,7.059146913,7.319127766,7.304059231,6.735773734,5.923216164
C10H12O2,7.176729373,9.771149678,7.589640349,10.81145488,7.824263159,5.216347778,7.774355234,9.267978752,10.46531183,10.41915768,10.05176388,9.066525459
C9H11O2N1,6.099730641,5.306290881,5.226998561,6.338319822,4.238515342,3.928546949,4.271789738,4.498289754,5.952020009,5.632255772,4.476577083,3.984672475
C8H6O4,6.850000866,6.935592404,5.723244815,8.189902631,4.298998463,2.953630414,5.91100859,6.157961001,5.823166112,5.603509226,5.594460268,5.04385302
C9H10O3,11.37512041,12.5728112,10.35513247,14.65846187,11.54377559,7.449913175,11.06380037,15.87135348,14.92518234,15.80474602,13.14940793,11.79620355
C10H14O2,9.290061475,12.45567064,8.549647434,13.2952773,9.886781594,6.421602077,9.718425579,14.22876352,15.11275429,15.11272968,12.57263674,12.13903657
C8H8O4,7.472816173,9.889868542,8.058216639,9.437208981,8.19218651,7.559946143,8.106425081,9.012753602,7.578196345,10.54426987,9.367517329,9.717737366
C9H12O3,12.12760242,11.6296549,12.08839097,13.91546284,11.71184644,11.71315163,11.29591057,13.89853437,15.05678335,15.64775696,14.28999352,12.81725637
C9H14O3,5.330080319,7.142019384,5.167616383,6.745118606,4.825219563,4.149172237,5.165054586,5.632077614,9.350254547,6.282190075,5.932816869,5.690711594
C11H10O2,6.409145564,6.597987639,6.326115939,7.520437068,6.033340676,5.057743404,6.425406663,6.258982369,7.092460568,7.118965108,6.932614453,6.172876381
C10H8O3,11.46854245,13.12414448,8.076253674,12.73843173,8.883762118,6.400904046,9.807810041,11.6435636,14.50515226,10.16832573,9.850231705,9.178521312
C11H12O2,0,0,0,0,10.96382986,0,0,13.48710824,16.95448951,13.63707877,12.20635408,0
C12H16O1,5.688703993,6.368842027,4.774802337,9.433870744,5.470763987,4.24554669,5.030325044,5.25251772,7.758962407,7.487637023,6.268146536,5.700330557
C10H11O2N1,5.542618871,5.907469646,4.052837874,5.786441197,3.188074143,2.975298791,4.537310358,6.302098622,4.332441262,5.743707623,4.891998895,3.658702249
C9H6O4,8.465747013,10.24191265,6.412510117,13.33853478,5.546629895,4.037024658,8.172407632,8.467093731,8.764595026,8.181735101,7.701794445,6.833919714
C10H10O3,14.54823814,17.05572842,9.243974094,21.33475679,10.57835638,7.500049864,13.17304908,13.67777485,15.8107811,17.29766152,13.60656654,12.83092576
C11H14O2,0,18.84573146,0,24.33511611,0,0,15.04535499,0,0,0,0,0
C9H8O4,9.980192074,15.35792169,7.837265648,15.44237207,8.018945177,5.116220754,10.65364717,9.492631981,11.26534434,8.943859373,8.685426553,9.738641976
C10H12O3,17.57619578,24.79696727,13.26872056,26.50270075,13.74133609,9.210403071,18.88074934,18.20534123,20.08754127,20.8864,18.07554968,17.84888202
