Id	Sample_1540_DNA	Sample_1540_RNA	Sample_1541_DNA	Sample_1541_RNA	Sample_1542_DNA	Sample_1542_RNA	Sample_1543_DNA	Sample_1543_RNA	Sample_1544_DNA	Sample_1544_RNA
Bac1	8	0	7	0	3	0	3	0	5	0
Bac101	0	1	2	0	2	2	0	0	0	1
Bac102	2	0	0	0	5	0	1	0	2	0
Bac103	0	0	0	0	16	1	1	1	1	0
Bac104	9	4	2	11	14	12	5	13	8	7
Bac105	0	136	0	23	0	15	0	14	1	36
Bac106	4	8	0	4	5	10	1	7	3	8
Bac107	1	2	5	1	5	1	8	74	3	0
Bac108	1	1	2	0	4	0	0	0	4	0
Bac109	45	8	18	6	34	9	43	20	86	8
Bac11	432	141	171	102	469	179	330	112	736	136
Bac110	0	0	0	0	0	0	0	1	0	0
Bac111	4	0	3	0	9	1	6	1	8	0
Bac112	59	180	32	100	113	54	64	71	143	86
Bac113	0	0	0	0	0	0	0	0	0	0
Bac114	0	0	0	0	1	0	0	0	0	0
Bac115	0	0	0	0	0	0	0	0	1	0
Bac116	1	0	0	0	3	1	1	0	2	0
Bac117	0	0	0	0	0	1	0	2	0	0
Bac118	6	5	2	1	9	1	4	4	9	3
Bac119	0	0	0	0	0	0	0	0	0	0
Bac12	321	44	181	36	292	48	324	55	667	52
Bac120	0	0	0	1	1	0	0	1	0	0
Bac122	6	7	4	5	10	5	7	9	8	4
Bac124	11	3	6	6	20	1	16	7	30	7
Bac125	0	0	0	0	0	0	0	0	0	1
Bac128	2	3	0	0	13	5	5	0	4	0
Bac129	73	21	14	4	72	3	47	4	70	4
Bac130	0	0	0	0	0	0	0	0	0	0
Bac131	0	0	0	0	0	0	0	0	0	0
Bac132	1	2	2	1	12	1	3	0	6	2
Bac133	0	0	0	0	0	0	0	0	0	0
Bac134	14	6	8	5	18	1	13	3	30	11
Bac135	0	46	0	3	0	9	2	5	1	22
Bac14	2	6	0	1	0	0	1	0	1	1
Bac140	1	0	0	0	0	0	0	0	2	0
Bac141	3	1	0	0	4	1	1	0	4	0
Bac142	1	0	1	0	3	0	0	0	0	0
Bac144	0	0	0	0	0	0	0	0	0	0
