"station" "Latitude" "Longitude"
"1" 116 -62.5630176111 -56.4183155191
"2" 118 -62.4425156641 -56.2860989418
"3" 160 -63.1751210572 -54.1091598751
"4" 161 -64.0057148952475 -56.6918815066337
"5" 163 -63.8762399285 -56.4384674225
"6" 164 -63.6166619061 -56.1840724122
"7" 192 -62.727575726 -57.4844658535
"8" 194 -62.74572984 -56.9277005337
"9" 196 -62.8023313324 -57.0824171326
"10" 197 -62.7450430694 -57.4452090546
"11" 198 -63.0353631727 -58.1005563109
"12" 199 -62.9506493992 -58.2263351905
"13" 204 -62.9353125181 -57.9805069364
"14" 215 -62.8909373066 -58.2256635981
"15" 218 -62.9453049651 -58.393095503
"16" 222 -63.0081204575 -58.5792184585
"17" 223 -63.0486301254 -58.6156022949
"18" 225 -62.9334143259 -58.6798072984
"19" 234 -62.2892255482 -61.2106113017
"20" 237 -62.2667159777 -61.1896415608
"21" 244 -62.1150281677 -60.6187857936
"22" 246 -61.9951201561 -60.0646954934
"23" 249 -61.9416610934 -60.10896891
"24" 251 -62.1242105505 -60.6175035253
